Rk,Player,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Date_Time,Random_Number
566,Mohamed Salah,Liverpool ,3,10,5,50.0,2.15,1.07,0.2,0.4,17.8,0,1,1,2.4,1.7,0.17,0.6,0.3,2020-06-24 13:55:41,30
567,Romain Salin,Rennes ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-07-17 15:56:43,76
568,Alexis Sánchez,Inter ,0,4,0,0.0,2.95,0.0,0.0,,16.1,1,0,0,0.4,0.4,0.09,-0.4,-0.4,2020-05-01 00:49:41,31
569,Jadon Sancho,Dortmund ,2,5,3,60.0,1.52,0.91,0.2,0.33,19.5,1,1,1,1.1,0.3,0.07,0.9,0.7,2020-10-19 03:27:58,81
570,Alex Sandro,Juventus ,0,2,0,0.0,0.67,0.0,0.0,,12.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,2020-09-08 04:44:32,12
571,Leroy Sané,Bayern Munich,2,9,3,33.3,3.7,1.23,0.22,0.67,17.4,0,0,0,0.7,0.7,0.08,1.3,1.3,2020-11-26 08:50:03,76
572,Morgan Sanson,Marseille ,0,5,2,40.0,1.22,0.49,0.0,0.0,21.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,2020-06-05 13:40:19,8
573,Douglas Santos,Zenit ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-12-22 17:45:55,11
574,Zaidu Sanusi,Porto ,1,7,4,57.1,1.2,0.68,0.14,0.25,11.4,0,0,0,1.3,1.3,0.24,-0.3,-0.3,2020-05-30 16:17:26,97
575,Pablo Sarabia,Paris S-G,0,3,0,0.0,1.89,0.0,0.0,,12.4,0,0,0,1.1,1.1,0.36,-1.1,-1.1,2020-12-20 02:48:39,8
576,Bouna Sarr,Bayern Munich,0,3,0,0.0,1.45,0.0,0.0,,26.8,0,0,0,0.0,0.0,0.02,0.0,0.0,2020-09-02 14:14:49,15
577,Malang Sarr,Porto ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-08-14 14:00:08,28
578,Stefan Savi?,Atlético Madrid,0,2,0,0.0,0.33,0.0,0.0,,15.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2,2020-02-27 21:08:06,93
579,Alexander Scholz,Midtjylland ,2,3,2,66.7,0.5,0.33,0.33,0.5,22.4,0,1,1,0.9,0.1,0.04,1.1,0.9,2020-03-06 04:35:04,63
580,Siebe Schrijvers,Club Brugge,0,1,0,0.0,3.46,0.0,0.0,,41.0,1,0,0,0.1,0.1,0.08,-0.1,-0.1,2020-07-30 21:03:47,14
581,Nico Schulz,Dortmund ,0,1,0,0.0,0.76,0.0,0.0,,11.4,0,0,0,0.2,0.2,0.18,-0.2,-0.2,2020-06-21 13:34:46,24
582,Perr Schuurs,Ajax ,0,7,1,14.3,1.25,0.18,0.0,0.0,24.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,2020-01-16 22:47:54,76
583,Rúben Semedo,Olympiacos ,0,3,0,0.0,0.51,0.0,0.0,,7.3,0,0,0,0.4,0.4,0.12,-0.4,-0.4,2020-11-07 17:18:43,9
584,Stefano Sensi,Inter ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-12-01 07:24:35,12
585,Artem Shabanov,Dynamo Kyiv,0,1,0,0.0,1.0,0.0,0.0,,8.0,0,0,0,0.0,0.0,0.04,0.0,0.0,2020-06-21 01:21:51,80
586,Daniil Shamkin,Zenit ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-05-18 07:33:17,27
587,Mykola Shaparenko,Dynamo Kyiv,0,3,1,33.3,0.63,0.21,0.0,0.0,18.0,1,0,0,0.2,0.2,0.06,-0.2,-0.2,2020-09-17 14:45:20,83
588,Xherdan Shaqiri,Liverpool ,0,1,0,0.0,0.74,0.0,0.0,,9.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,2020-04-06 21:16:34,19
589,Luke Shaw,Manchester Utd,0,2,0,0.0,0.55,0.0,0.0,,19.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2020-08-13 20:12:39,39
590,Volodymyr Shepelyev,Dynamo Kyiv,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-08-02 08:05:56,17
591,Dávid Sigér,Ferencváros ,0,4,0,0.0,0.93,0.0,0.0,,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2020-07-23 11:39:52,50
592,Bernardo Silva,Manchester City,0,6,3,50.0,1.41,0.71,0.0,0.0,12.0,0,0,0,0.6,0.6,0.1,-0.6,-0.6,2020-10-14 02:23:53,15
593,Thiago Silva,Chelsea ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-10-09 06:07:26,71
594,Aleksandr Silyanov,Loko Moscow,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-03-10 09:57:12,46
595,Pione Sisto,Midtjylland ,0,1,0,0.0,0.26,0.0,0.0,,28.5,0,0,0,0.0,0.0,0.02,0.0,0.0,2020-02-26 13:19:52,54
596,Milan kriniar,Inter ,0,2,0,0.0,0.67,0.0,0.0,,14.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,2020-06-03 11:39:37,82
597,Martin krtel,Ba?ak?ehir ,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,2020-01-18 04:40:53,12
598,Igor Smolnikov,Krasnodar ,0,3,0,0.0,0.6,0.0,0.0,,26.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,2020-06-15 13:46:07,97
599,Fyodor Smolov,Loko Moscow,0,3,2,66.7,1.36,0.91,0.0,0.0,13.3,0,0,0,0.3,0.3,0.09,-0.3,-0.3,2020-02-10 21:43:45,72
600,Eduard Sobol,Club Brugge,0,5,0,0.0,1.44,0.0,0.0,,20.7,0,0,0,0.4,0.4,0.08,-0.4,-0.4,2020-11-13 23:24:48,98
601,Manor Solomon,Shakhtar ,2,3,2,66.7,0.73,0.49,0.67,1.0,16.5,0,0,0,0.3,0.3,0.11,1.7,1.7,2020-12-01 13:00:48,24
602,Somália,Ferencváros ,0,1,0,0.0,0.19,0.0,0.0,,12.7,0,0,0,0.0,0.0,0.04,0.0,0.0,2020-01-14 04:56:24,44
